"Type","Local Number","Message","Field 1","Value 1","Units 1","Field 2","Value 2","Units 2","Field 3","Value 3","Units 3","Field 4","Value 4","Units 4","Field 5","Value 5","Units 5"
"Definition",0,"file_id","type",1,"","manufacturer",1,"","time_created",1,"","product",1,"","product_name",1,""
"Data",0,"file_id","type",4,"","manufacturer",294,"","time_created",1049366170,"","product",802,"","product_name","Huawei band 7",""
"Definition",0,"activity","timestamp",1,"","total_timer_time",1,"","local_timestamp",1,"","num_sessions",1,"","type",1,""
"Data",0,"activity","timestamp",1049366170,"s","total_timer_time",4876000,"s","local_timestamp",1049394970,"","num_sessions",1,"","type",0,""
"Definition",0,"event","timestamp",1,"","event",1,"","event_type",1,"","event_group",1,"",,,
"Data",0,"event","timestamp",1049366170,"s","event",0,"","event_type",0,"","event_group",0,"",,,
"Definition",0,"record","timestamp",1,"","distance",1,"","activity_type",1,"",,,,,,
"Data",0,"record","timestamp",1049366170,"s","distance",0,"m","activity_type",10,"",,,,,,
"Definition",0,"record","timestamp",1,"","activity_type",1,"","speed",1,"",,,,,,
"Data",0,"record","timestamp",1049366170,"s","activity_type",10,"","speed","0.000","m/s",,,,,,
"Data",0,"record","timestamp",1049366175,"s","activity_type",10,"","speed","0.000","m/s",,,,,,
"Definition",0,"record","timestamp",1,"","activity_type",1,"","heart_rate",1,"","speed",1,"",,,
"Data",0,"record","timestamp",1049366180,"s","activity_type",10,"","heart_rate",89,"bpm","speed","0.000","m/s",,,
"Data",0,"record","timestamp",1049366185,"s","activity_type",10,"","heart_rate",94,"bpm","speed","0.000","m/s",,,
"Data",0,"record","timestamp",1049366190,"s","activity_type",10,"","heart_rate",102,"bpm","speed","0.000","m/s",,,
"Data",0,"record","timestamp",1049366195,"s","activity_type",10,"","heart_rate",102,"bpm","speed","0.000","m/s",,,
"Data",0,"record","timestamp",1049366200,"s","activity_type",10,"","heart_rate",102,"bpm","speed","0.000","m/s",,,
"Data",0,"record","timestamp",1049366205,"s","activity_type",10,"","heart_rate",102,"bpm","speed","0.000","m/s",,,
"Data",0,"record","timestamp",1049366210,"s","activity_type",10,"","heart_rate",102,"bpm","speed","0.000","m/s",,,
"Data",0,"record","timestamp",1049366215,"s","activity_type",10,"","heart_rate",102,"bpm","speed","0.000","m/s",,,
"Data",0,"record","timestamp",1049366220,"s","activity_type",10,"","heart_rate",102,"bpm","speed","0.000","m/s",,,
"Data",0,"record","timestamp",1049366225,"s","activity_type",10,"","heart_rate",102,"bpm","speed","0.000","m/s",,,
"Data",0,"record","timestamp",1049366230,"s","activity_type",10,"","heart_rate",101,"bpm","speed","0.000","m/s",,,
"Data",0,"record","timestamp",1049366235,"s","activity_type",10,"","heart_rate",98,"bpm","speed","0.000","m/s",,,
"Data",0,"record","timestamp",1049366240,"s","activity_type",10,"","heart_rate",98,"bpm","speed","0.000","m/s",,,
"Data",0,"record","timestamp",1049366245,"s","activity_type",10,"","heart_rate",98,"bpm","speed","0.000","m/s",,,
"Data",0,"record","timestamp",1049366250,"s","activity_type",10,"","heart_rate",98,"bpm","speed","0.000","m/s",,,
"Data",0,"record","timestamp",1049366255,"s","activity_type",10,"","heart_rate",81,"bpm","speed","0.000","m/s",,,
"Data",0,"record","timestamp",1049366260,"s","activity_type",10,"","heart_rate",77,"bpm","speed","0.000","m/s",,,
"Data",0,"record","timestamp",1049366265,"s","activity_type",10,"","heart_rate",77,"bpm","speed","0.000","m/s",,,
"Data",0,"record","timestamp",1049366270,"s","activity_type",10,"","heart_rate",78,"bpm","speed","0.000","m/s",,,
"Data",0,"record","timestamp",1049366275,"s","activity_type",10,"","heart_rate",78,"bpm","speed","0.000","m/s",,,
"Data",0,"record","timestamp",1049366280,"s","activity_type",10,"","heart_rate",78,"bpm","speed","0.000","m/s",,,
"Data",0,"record","timestamp",1049366285,"s","activity_type",10,"","heart_rate",78,"bpm","speed","0.000","m/s",,,
"Data",0,"record","timestamp",1049366290,"s","activity_type",10,"","heart_rate",77,"bpm","speed","0.000","m/s",,,
"Data",0,"record","timestamp",1049366295,"s","activity_type",10,"","heart_rate",80,"bpm","speed","0.000","m/s",,,
"Data",0,"record","timestamp",1049366300,"s","activity_type",10,"","heart_rate",83,"bpm","speed","0.000","m/s",,,
"Data",0,"record","timestamp",1049366305,"s","activity_type",10,"","heart_rate",87,"bpm","speed","0.000","m/s",,,
"Data",0,"record","timestamp",1049366310,"s","activity_type",10,"","heart_rate",89,"bpm","speed","0.000","m/s",,,
"Data",0,"record","timestamp",1049366315,"s","activity_type",10,"","heart_rate",89,"bpm","speed","0.000","m/s",,,
"Data",0,"record","timestamp",1049366320,"s","activity_type",10,"","heart_rate",100,"bpm","speed","0.000","m/s",,,
"Data",0,"record","timestamp",1049366325,"s","activity_type",10,"","heart_rate",101,"bpm","speed","0.000","m/s",,,
"Data",0,"record","timestamp",1049366330,"s","activity_type",10,"","heart_rate",104,"bpm","speed","0.000","m/s",,,
"Data",0,"record","timestamp",1049366335,"s","activity_type",10,"","heart_rate",104,"bpm","speed","0.000","m/s",,,
"Data",0,"record","timestamp",1049366340,"s","activity_type",10,"","heart_rate",103,"bpm","speed","0.000","m/s",,,
"Data",0,"record","timestamp",1049366345,"s","activity_type",10,"","heart_rate",103,"bpm","speed","0.000","m/s",,,
"Data",0,"record","timestamp",1049366350,"s","activity_type",10,"","heart_rate",93,"bpm","speed","0.000","m/s",,,
"Data",0,"record","timestamp",1049366355,"s","activity_type",10,"","heart_rate",94,"bpm","speed","0.000","m/s",,,
"Data",0,"record","timestamp",1049366360,"s","activity_type",10,"","heart_rate",100,"bpm","speed","0.000","m/s",,,
"Data",0,"record","timestamp",1049366365,"s","activity_type",10,"","heart_rate",104,"bpm","speed","0.000","m/s",,,
"Data",0,"record","timestamp",1049366370,"s","activity_type",10,"","heart_rate",107,"bpm","speed","0.000","m/s",,,
"Data",0,"record","timestamp",1049366375,"s","activity_type",10,"","heart_rate",108,"bpm","speed","0.000","m/s",,,
"Data",0,"record","timestamp",1049366380,"s","activity_type",10,"","heart_rate",109,"bpm","speed","0.000","m/s",,,
"Data",0,"record","timestamp",1049366385,"s","activity_type",10,"","heart_rate",110,"bpm","speed","0.000","m/s",,,
"Data",0,"record","timestamp",1049366390,"s","activity_type",10,"","heart_rate",113,"bpm","speed","0.000","m/s",,,
"Data",0,"record","timestamp",1049366395,"s","activity_type",10,"","heart_rate",115,"bpm","speed","0.000","m/s",,,
"Data",0,"record","timestamp",1049366400,"s","activity_type",10,"","heart_rate",116,"bpm","speed","0.000","m/s",,,
"Data",0,"record","timestamp",1049366405,"s","activity_type",10,"","heart_rate",116,"bpm","speed","0.000","m/s",,,
"Data",0,"record","timestamp",1049366410,"s","activity_type",10,"","heart_rate",116,"bpm","speed","0.000","m/s",,,
"Data",0,"record","timestamp",1049366415,"s","activity_type",10,"","heart_rate",110,"bpm","speed","0.000","m/s",,,
"Data",0,"record","timestamp",1049366420,"s","activity_type",10,"","heart_rate",110,"bpm","speed","0.000","m/s",,,
"Data",0,"record","timestamp",1049366425,"s","activity_type",10,"","heart_rate",110,"bpm","speed","0.000","m/s",,,
"Data",0,"record","timestamp",1049366430,"s","activity_type",10,"","heart_rate",101,"bpm","speed","0.000","m/s",,,
"Data",0,"record","timestamp",1049366435,"s","activity_type",10,"","heart_rate",98,"bpm","speed","0.000","m/s",,,
"Data",0,"record","timestamp",1049366440,"s","activity_type",10,"","heart_rate",104,"bpm","speed","0.000","m/s",,,
"Data",0,"record","timestamp",1049366445,"s","activity_type",10,"","heart_rate",109,"bpm","speed","0.000","m/s",,,
"Data",0,"record","timestamp",1049366450,"s","activity_type",10,"","heart_rate",109,"bpm","speed","0.000","m/s",,,
"Data",0,"record","timestamp",1049366455,"s","activity_type",10,"","heart_rate",111,"bpm","speed","0.000","m/s",,,
"Data",0,"record","timestamp",1049366460,"s","activity_type",10,"","heart_rate",116,"bpm","speed","0.000","m/s",,,
"Data",0,"record","timestamp",1049366465,"s","activity_type",10,"","heart_rate",117,"bpm","speed","0.000","m/s",,,
"Data",0,"record","timestamp",1049366470,"s","activity_type",10,"","heart_rate",120,"bpm","speed","0.000","m/s",,,
"Data",0,"record","timestamp",1049366475,"s","activity_type",10,"","heart_rate",121,"bpm","speed","0.000","m/s",,,
"Data",0,"record","timestamp",1049366480,"s","activity_type",10,"","heart_rate",121,"bpm","speed","0.000","m/s",,,
"Data",0,"record","timestamp",1049366485,"s","activity_type",10,"","heart_rate",120,"bpm","speed","0.000","m/s",,,
"Data",0,"record","timestamp",1049366490,"s","activity_type",10,"","heart_rate",120,"bpm","speed","0.000","m/s",,,
"Data",0,"record","timestamp",1049366495,"s","activity_type",10,"","heart_rate",120,"bpm","speed","0.000","m/s",,,
"Data",0,"record","timestamp",1049366500,"s","activity_type",10,"","heart_rate",120,"bpm","speed","0.000","m/s",,,
"Data",0,"record","timestamp",1049366505,"s","activity_type",10,"","heart_rate",120,"bpm","speed","0.000","m/s",,,
"Data",0,"record","timestamp",1049366510,"s","activity_type",10,"","heart_rate",120,"bpm","speed","0.000","m/s",,,
"Data",0,"record","timestamp",1049366515,"s","activity_type",10,"","heart_rate",103,"bpm","speed","0.000","m/s",,,
"Data",0,"record","timestamp",1049366520,"s","activity_type",10,"","heart_rate",103,"bpm","speed","0.000","m/s",,,
"Data",0,"record","timestamp",1049366525,"s","activity_type",10,"","heart_rate",101,"bpm","speed","0.000","m/s",,,
"Data",0,"record","timestamp",1049366530,"s","activity_type",10,"","heart_rate",102,"bpm","speed","0.000","m/s",,,
"Data",0,"record","timestamp",1049366535,"s","activity_type",10,"","heart_rate",103,"bpm","speed","0.000","m/s",,,
"Data",0,"record","timestamp",1049366540,"s","activity_type",10,"","heart_rate",107,"bpm","speed","0.000","m/s",,,
"Data",0,"record","timestamp",1049366545,"s","activity_type",10,"","heart_rate",117,"bpm","speed","0.000","m/s",,,
